,hello,glad,sorri,joy,thank,:,),(,frustrat,good,great,enjoy,hope,total
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0
2013,26.0,12.0,28.0,0.0,62.0,76.0,77.0,66.0,0.0,40.0,19.0,8.0,32.0,13974.0
2014,52.0,27.0,53.0,0.0,135.0,71.0,142.0,126.0,3.0,117.0,43.0,3.0,78.0,29051.0
2015,62.0,25.0,50.0,0.0,152.0,116.0,149.0,135.0,3.0,90.0,35.0,14.0,82.0,27505.0
2016,113.0,26.0,78.0,0.0,287.0,212.0,238.0,182.0,3.0,207.0,60.0,14.0,149.0,45927.0
2017,102.0,43.0,82.0,0.0,328.0,214.0,258.0,179.0,0.0,195.0,75.0,22.0,159.0,54346.0
2018,124.0,50.0,128.0,0.0,382.0,215.0,246.0,191.0,0.0,256.0,100.0,7.0,176.0,70253.0
2019,164.0,68.0,223.0,3.0,647.0,373.0,366.0,281.0,9.0,370.0,186.0,28.0,258.0,106301.0
2020,176.0,88.0,234.0,9.0,762.0,355.0,548.0,467.0,9.0,466.0,171.0,17.0,350.0,128576.0
